207 true_sum = 54092, estimate_sum = 53946, error = -0.270%
208 true_sum = 54485, estimate_sum = 53911, error = -1.054%
209 true_sum = 54059, estimate_sum = 53923, error = -0.252%
210 true_sum = 53535, estimate_sum = 53685, error = 0.280%
211 true_sum = 54181, estimate_sum = 54182, error = 0.002%
212 true_sum = 54712, estimate_sum = 54038, error = -1.232%
213 true_sum = 54789, estimate_sum = 54710, error = -0.144%
214 true_sum = 54341, estimate_sum = 54350, error = 0.017%
215 true_sum = 54013, estimate_sum = 54255, error = 0.448%
216 true_sum = 53660, estimate_sum = 52150, error = -2.814%
217 true_sum = 54354, estimate_sum = 52138, error = -4.077%
218 true_sum = 54478, estimate_sum = 52890, error = -2.915%
219 true_sum = 53790, estimate_sum = 52267, error = -2.831%
220 true_sum = 53177, estimate_sum = 52336, error = -1.582%
221 true_sum = 53790, estimate_sum = 52481, error = -2.434%
222 true_sum = 53735, estimate_sum = 52341, error = -2.594%
223 true_sum = 54188, estimate_sum = 52166, error = -3.731%
224 true_sum = 53729, estimate_sum = 52342, error = -2.581%
225 true_sum = 53692, estimate_sum = 52331, error = -2.535%
226 true_sum = 53700, estimate_sum = 52750, error = -1.769%
227 true_sum = 53315, estimate_sum = 52239, error = -2.018%
228 true_sum = 53438, estimate_sum = 52663, error = -1.450%
229 true_sum = 53574, estimate_sum = 52626, error = -1.770%
230 true_sum = 53693, estimate_sum = 53235, error = -0.853%
231 true_sum = 53742, estimate_sum = 52433, error = -2.436%
232 true_sum = 53658, estimate_sum = 52615, error = -1.944%
233 true_sum = 52970, estimate_sum = 51910, error = -2.001%
234 true_sum = 52928, estimate_sum = 52463, error = -0.879%
235 true_sum = 53503, estimate_sum = 52202, error = -2.432%
236 true_sum = 53350, estimate_sum = 52767, error = -1.093%
237 true_sum = 53237, estimate_sum = 52323, error = -1.717%
238 true_sum = 53681, estimate_sum = 52869, error = -1.513%
239 true_sum = 53302, estimate_sum = 52028, error = -2.390%
240 true_sum = 52704, estimate_sum = 51978, error = -1.378%
241 true_sum = 52409, estimate_sum = 52770, error = 0.689%
242 true_sum = 51976, estimate_sum = 52589, error = 1.179%
243 true_sum = 51987, estimate_sum = 52682, error = 1.337%
244 true_sum = 52514, estimate_sum = 52657, error = 0.272%
245 true_sum = 52594, estimate_sum = 53260, error = 1.266%
246 true_sum = 52909, estimate_sum = 53359, error = 0.851%
247 true_sum = 53635, estimate_sum = 53849, error = 0.399%
248 true_sum = 53699, estimate_sum = 53906, error = 0.385%
249 true_sum = 53480, estimate_sum = 53687, error = 0.387%
250 true_sum = 53072, estimate_sum = 53463, error = 0.737%
251 true_sum = 53164, estimate_sum = 53104, error = -0.113%
252 true_sum = 52992, estimate_sum = 52782, error = -0.396%
253 true_sum = 53006, estimate_sum = 53299, error = 0.553%
254 true_sum = 52785, estimate_sum = 53034, error = 0.472%
255 true_sum = 52605, estimate_sum = 52467, error = -0.262%
